Sample,Date,Month,Site,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
CL7.03.10.20,10/3/2020,October,CL,7,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Platykurtic",2341.574,3.826,0.366,0.765,0.205,1.936,-0.366,0.765,5706.19,537.76,180.862,0.032,-5525.327,0.111,-2493.934,2.997,-1.584,Gravelly Sand,0,29.287,68.54,2.173,0,0,0,0,20.514,8.773,8.399,13.882,34.52,8.375,3.364,0,2.173
CL8.03.10.20,10/3/2020,October,CL,8,"Coarse Sand,Poorly Sorted,Coarse Skewed,Platykurtic",3443.795,3.599,0.18,0.813,0.051,1.848,-0.18,0.813,5364.818,752.237,229.954,0.043,-5134.864,0.134,-2268.302,2.736,-1.452,Gravelly Sand,0,29.862,68.044,2.095,0,0,0,0,17.347,12.515,13.829,16.04,29.606,5.499,3.07,0,2.095
CL13.03.10.20,10/3/2020,October,CL,13,"Coarse Sand,Poorly Sorted,Coarse Skewed,Leptokurtic",1645.296,3.229,0.291,1.152,0.605,1.691,-0.291,1.152,3643.6,485.169,166.956,0.046,-3476.645,0.228,-1029.602,2.092,-1.065,Gravelly Sand,0,17.614,78.904,3.482,0,0,0,0,8.815,8.798,12.655,18.11,37.315,7.393,3.431,0,3.482
CL15.03.10.20,10/3/2020,October,CL,15,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",1332.325,3.516,0.331,1.273,0.682,1.814,-0.331,1.273,4209.666,428.267,141.355,0.034,-4068.311,0.243,-888.917,2.03,-1.021,Gravelly Sand,0,18.176,77.606,4.218,0,0,0,0,10.796,7.38,8.877,13.45,42.511,8.493,4.275,0,4.218
CL.9.03.10.20,10/3/2020,October,CL,9,"Very Coarse Sand,Poorly Sorted,Fine Skewed,Platykurtic",7400.084,3.575,-0.149,0.712,-0.361,1.838,0.149,0.712,5844.316,1422.803,259.305,0.044,-5585.011,0.109,-3259.624,3.035,-1.602,Sandy Gravel,0,44.65,53.928,1.422,0,0,0,0,22.077,22.573,10.891,11.331,24.416,4.674,2.616,0,1.422
LL1.03.10.20,10/3/2020,October,LL,1,"Coarse Sand,Very Poorly Sorted,Symmetrical,Very Platykurtic",1657.061,4.984,-0.089,0.668,0.375,2.317,0.089,0.668,5664.517,858.806,89.96,0.016,-5574.557,0.062,-2981.377,4.005,-2.002,Sandy Gravel,0,34.939,63.474,1.586,0,0,0,0,20.078,14.861,12.974,9.77,13.673,10.875,16.183,0,1.586
LL2.03.10.20,10/3/2020,October,LL,2,"Very Coarse Sand,Very Poorly Sorted,Very Fine Skewed,Platykurtic",6639.536,4.834,-0.418,0.777,-0.368,2.273,0.418,0.777,6559.941,2006.319,99.58,0.015,-6460.362,0.084,-4461.869,3.451,-1.787,Sandy Gravel,0,50.069,45.498,4.433,0,0,0,0,34.926,15.143,12.724,9.587,9.05,5.806,8.331,0,4.433
LL4.03.10.20,10/3/2020,October,LL,4,"Very Coarse Sand,Very Poorly Sorted,Very Fine Skewed,Platykurtic",3495.19,4.832,-0.314,0.791,-0.001,2.273,0.314,0.791,5858.766,1438.878,93.525,0.016,-5765.24,0.093,-3309.018,3.279,-1.713,Sandy Gravel,0,42.952,53.847,3.201,0,0,0,0,22.252,20.7,14.836,10.964,11.171,5.085,11.792,0,3.201
LL8.03.10.20,10/3/2020,October,LL,8,"Medium Sand,Very Poorly Sorted,Symmetrical,Platykurtic",406.622,8.995,-0.009,0.871,1.04,3.169,0.009,0.871,5785.566,367.801,16.678,0.003,-5768.888,0.03,-2800.092,5.742,-2.521,Gravelly Muddy Sand,0,29.071,56.245,14.683,0,0,0,0,21.388,7.683,8.443,8.221,9.628,8.509,21.445,0,14.683
LL12.03.10.20,10/3/2020,October,LL,12,"Medium Sand,Very Poorly Sorted,Symmetrical,Leptokurtic",331.408,8.091,0.022,1.131,1.235,3.016,-0.022,1.131,4981.665,316.717,18.489,0.004,-4963.176,0.071,-1385.559,3.755,-1.909,Gravelly Muddy Sand,0,22.098,63.733,14.169,0,0,0,0,14.633,7.465,6.854,9.17,18.031,15.35,14.328,0,14.169
LL15.03.10.20,10/3/2020,October,LL,15,"Medium Sand,Very Poorly Sorted,Symmetrical,Mesokurtic",453.495,5.562,0.068,1.012,1.176,2.476,-0.068,1.012,4193.866,364.169,70.798,0.017,-4123.067,0.098,-1206.227,3.202,-1.679,Gravelly Sand,0,19.543,73.366,7.092,0,0,0,0,10.733,8.81,9.386,10.886,22.273,13.745,17.076,0,7.092
POCO1.03.10.20,10/3/2020,October,POCO,1,"Medium Sand,Very Poorly Sorted,Symmetrical,Leptokurtic",288.355,7.567,-0.069,1.136,1.407,2.92,0.069,1.136,3605.591,332.458,13.578,0.004,-3592.013,0.072,-1322.321,3.715,-1.893,Gravelly Muddy Sand,0,20.081,64.088,15.831,0,0,0,0,8.224,11.857,10.07,10.027,16.682,14.602,12.708,0,15.831
POCO2.03.10.20,10/3/2020,October,POCO,2,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",32.018,10.484,-0.148,1.39,2.638,3.39,0.148,1.39,3782.747,201.592,5.149,0.001,-3777.599,0.1,-562.78,3.167,-1.663,Gravelly Muddy Sand,0,13.488,61.447,25.065,0,0,0,0,9.694,3.794,5.69,9.181,17.461,13.462,15.653,0,25.065
POCO7.03.10.20,10/3/2020,October,POCO,7,"Medium Sand,Very Poorly Sorted,Symmetrical,Leptokurtic",165.63,8.209,-0.034,1.151,1.689,3.037,0.034,1.151,3580.385,264.306,10.954,0.003,-3569.432,0.072,-1067.719,3.724,-1.897,Gravelly Muddy Sand,0,18.861,63.902,17.237,0,0,0,0,8.314,10.547,7.698,9.41,15.256,12.228,19.31,0,17.237
POCO8.03.10.20,10/3/2020,October,POCO,8,"Very Fine Sand,Very Poorly Sorted,Fine Skewed,Mesokurtic",9.431,9.312,-0.217,1.096,3.467,3.219,0.217,1.096,1370.735,135.091,3.602,0.003,-1367.133,0.064,-370.648,3.941,-1.978,Gravelly Muddy Sand,0,7.458,60.615,31.927,0,0,0,0,2.772,4.686,4.665,7.981,14.58,17.248,16.141,0,31.927
RH15.18.09.20,9/18/2020,September,RH,15,"Coarse Sand,Very Poorly Sorted,Fine Skewed,Platykurtic",2798.596,4.714,-0.186,0.78,0.122,2.237,0.186,0.78,5675.614,1100.072,96.346,0.017,-5579.268,0.089,-3018.884,3.355,-1.746,Sandy Gravel,0,37.881,58.015,4.103,0,0,0,0,20.193,17.688,14.052,12.878,13.327,8.247,9.511,0,4.103
POCO9.03.10.20,10/3/2020,October,POCO,9,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",65.267,8.347,-0.22,1.289,2.314,3.061,0.22,1.289,2207.47,254.908,7.02,0.003,-2200.45,0.1,-673.823,3.156,-1.658,Gravelly Muddy Sand,0,11.006,67.87,21.125,0,0,0,0,3.944,7.061,9.572,11.074,18.877,13.374,14.972,0,21.125
POCO12.03.10.20,10/3/2020,October,POCO,12,"Medium Sand,Very Poorly Sorted,Symmetrical,Leptokurtic",155.476,9.16,-0.092,1.163,1.687,3.195,0.092,1.163,4407.866,299.214,9.537,0.002,-4398.329,0.069,-1136.893,3.8,-1.926,Gravelly Muddy Sand,0,19.161,62.554,18.285,0,0,0,0,11.629,7.532,8.208,10.566,16.287,11.88,15.613,0,18.285
RH2.03.10.20,10/3/2020,October,RH,2,"Very Coarse Sand,Very Poorly Sorted,Very Fine Skewed,Very Platykurtic",10155.708,4.488,-0.503,0.647,-0.591,2.166,0.503,0.647,6798.545,2594.563,145.219,0.021,-6653.326,0.063,-4989.286,3.977,-1.992,Sandy Gravel,0,54.453,44.345,1.202,0,0,0,0,42.594,11.859,6.261,5.612,15.213,10.797,6.462,0,1.202
RH6.03.10.20,10/3/2020,October,RH,6,"Medium Sand,Very Poorly Sorted,Very Coarse Skewed,Mesokurtic",216.154,6.254,0.329,0.962,1.475,2.645,-0.329,0.962,4794.635,194.779,66.571,0.014,-4728.063,0.08,-1056.208,3.542,-1.825,Gravelly Sand,0,20.808,71.794,7.398,0,0,0,0,13.54,7.268,5.232,6.157,12.026,16.044,32.335,0,7.398
RH9.03.10.20,10/3/2020,October,RH,9,"Coarse Sand,Very Poorly Sorted,Fine Skewed,Platykurtic",969.702,8.329,-0.18,0.743,0.565,3.058,0.18,0.743,6459.696,708.05,55.098,0.009,-6404.598,0.022,-4581.994,6.681,-2.74,Muddy Sandy Gravel,0,42.116,47.552,10.332,0,0,0,0,32.411,9.705,5.233,5.163,11.927,5.559,19.671,0,10.332
RH13.03.10.20,10/3/2020,October,RH,13,"Coarse Sand,Very Poorly Sorted,Fine Skewed,Platykurtic",875.531,8.727,-0.212,0.779,0.637,3.125,0.212,0.779,6182.243,705.359,28.916,0.005,-6153.327,0.023,-4103.904,6.617,-2.726,Muddy Sandy Gravel,0,40.049,47.653,12.298,0,0,0,0,26.891,13.158,7.274,4.945,5.257,9.471,20.707,0,12.298
RH14.03.10.20,10/3/2020,October,RH,14,"Medium Sand,Very Poorly Sorted,Fine Skewed,Platykurtic",219.349,12.16,-0.145,0.787,1.286,3.604,0.145,0.787,6389.273,419.828,8.21,0.001,-6381.063,0.017,-4483.07,7.684,-2.942,Muddy Sandy Gravel,0,36.837,43.592,19.571,0,0,0,0,30.831,6.005,5.686,5.806,6.629,7.209,18.262,0,19.571
RH15.03.10.20,10/3/2020,October,RH,15,"Coarse Sand,Very Poorly Sorted,Fine Skewed,Platykurtic",455.752,9.993,-0.178,0.842,0.973,3.321,0.178,0.842,5915.533,531.281,11.483,0.002,-5904.05,0.024,-3494.452,6.403,-2.679,Muddy Sandy Gravel,0,35.752,47.341,16.907,0,0,0,0,22.963,12.79,7.954,6.855,7.592,7.986,16.954,0,16.907
