Sample,Date,Month,Site,Location,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
Brid2.7.16.2021,7.16.2021,July,Brid,Start,2,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",1782.051,2.439,0.537,1.477,0.654,1.286,-0.537,1.477,3592.091,483.892,283.084,0.079,-3309.007,0.431,-456.178,1.522,-0.606,Gravelly Sand,0,14.602,85.374,0.024,0,0,0,0,9.155,5.448,6.674,26.28,51.716,0.548,0.155,0,0.024
Poco17.7.26.2021,7.26.2021,July,Poco,End,17,"Coarse Sand,Moderately Well Sorted,Symmetrical,Leptokurtic",1948.971,1.563,-0.045,1.38,0.847,0.645,0.045,1.38,940.636,579.714,311.766,0.331,-628.87,0.628,-260.495,1.262,-0.335,Slightly Gravelly Sand,0,1.963,97.997,0.039,0,0,0,0,0.933,1.03,5.144,62.378,30.104,0.34,0.031,0,0.039
Poco12.5.7.26.2021,7.26.2021,July,Poco,Mid,12.5,"Fine Sand,Very Poorly Sorted,Fine Skewed,Very Leptokurtic",127.952,4.716,-0.252,1.684,2.222,2.238,0.252,1.684,976.629,242.245,12.837,0.013,-963.792,0.219,-361.989,2.139,-1.097,Slightly Gravelly Muddy Sand,0,4.332,79.493,16.175,0,0,0,0,1.343,2.989,5.299,12.42,26.77,18.623,16.381,0,16.175
Poco7.7.26.2021,7.26.2021,July,Poco,Start,7,"Coarse Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",1697.414,1.754,0.131,1.426,0.899,0.811,-0.131,1.426,1124.072,546.986,293.409,0.261,-830.663,0.547,-314.97,1.352,-0.435,Gravelly Sand,0,5.309,94.661,0.03,0,0,0,0,2.957,2.353,5.643,48.38,39.879,0.723,0.036,0,0.03
RH24.7.26.2021,7.26.2021,July,RH,End,24,"Medium Sand,Moderately Well Sorted,Symmetrical,Mesokurtic",1415.721,1.539,-0.026,1.013,1.05,0.622,0.026,1.013,872.574,507.972,286.259,0.328,-586.315,0.548,-293.935,1.351,-0.434,Slightly Gravelly Sand,0,1.71,98.269,0.021,0,0,0,0,0.746,0.964,4.309,45.586,47.719,0.64,0.015,0,0.021
RH13.7.26.2021,7.26.2021,July,RH,Mid,13,"Fine Sand,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic",120.858,4.201,-0.323,1.663,2.325,2.071,0.323,1.663,744.459,236.53,13.229,0.018,-731.23,0.231,-322.85,2.082,-1.058,Slightly Gravelly Muddy Sand,0,3.07,80.941,15.989,0,0,0,0,0.998,2.072,3.623,10.511,30.85,17.483,18.475,0,15.989
RH2.7.26.2021,7.26.2021,July,RH,Start,2,"Fine Sand,Very Poorly Sorted,Symmetrical,Very Leptokurtic",58.271,5.723,0.084,1.833,2.566,2.517,-0.084,1.833,1768.642,135.541,11.04,0.006,-1757.603,0.211,-282.251,2.175,-1.121,Gravelly Muddy Sand,0,9.215,73.604,17.181,0,0,0,0,3.808,5.406,4.427,5.907,11.298,14.244,37.728,0,17.181
AB23.8.14.2021,8.14.2021,August,AB,End,23,"Coarse Sand,Poorly Sorted,Coarse Skewed,Platykurtic",1503.319,3.868,0.209,0.762,0.519,1.952,-0.209,0.762,4762.256,553.398,159.205,0.033,-4603.05,0.111,-1746.942,3,-1.585,Gravelly Sand,0,24.603,74.061,1.337,0,0,0,0,13.363,11.24,15.746,10.917,17.321,23.611,6.466,0,1.337
AB12.8.14.2021,8.14.2021,August,AB,Mid,12,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",1271.67,2.318,0.382,1.261,0.907,1.213,-0.382,1.261,2004.546,439.213,228.385,0.114,-1776.161,0.387,-480.973,1.608,-0.686,Gravelly Sand,0,10.022,89.978,0,0,0,0,0,3.457,6.564,9.634,21.607,46.724,11.079,0.934,0,0
AB1.8.14.2021,8.14.2021,August,AB,Start,1,"Very Coarse Sand,Poorly Sorted,Fine Skewed,Very Platykurtic",12960.461,3.5,-0.221,0.606,-0.714,1.807,0.221,0.606,6879.074,1971.716,282.682,0.041,-6596.392,0.092,-4981.799,3.301,-1.723,Sandy Gravel,0,49.836,50.046,0.118,0,0,0,0,45.917,3.919,7.991,17.374,17.987,6.322,0.372,0,0.118
Brid19.8.14.2021,8.14.2021,August,Brid,End,19,"Medium Sand,Poorly Sorted,Coarse Skewed,Leptokurtic",612.995,2.781,0.223,1.392,1.334,1.476,-0.223,1.392,1887.464,348.517,154.336,0.082,-1733.128,0.324,-436.656,1.756,-0.813,Gravelly Sand,0,9.43,87.089,3.481,0,0,0,0,4.314,5.115,6.825,16.043,33.998,24.454,5.769,0,3.481
Brid10.5.8.14.2021,8.14.2021,August,Brid,Mid,10.5,"Medium Sand,Poorly Sorted,Symmetrical,Very Leptokurtic",261.412,3.436,0.091,1.546,1.776,1.781,-0.091,1.546,1365.168,238.022,75.921,0.056,-1289.247,0.29,-397.248,1.856,-0.892,Slightly Gravelly Sand,0,4.247,88.595,7.157,0,0,0,0,1.443,2.804,10.442,12.319,19.77,32.644,13.42,0,7.157
Brid1.8.14.2021,8.14.2021,August,Brid,Start,1,"Fine Sand,Very Poorly Sorted,Fine Skewed,Very Leptokurtic",153.205,4.61,-0.109,1.856,2.094,2.205,0.109,1.856,1218.868,228.176,22.345,0.018,-1196.522,0.254,-358.781,1.985,-0.989,Gravelly Muddy Sand,0,6.047,80.642,13.311,0,0,0,0,1.315,4.732,5.533,12.203,21.472,25.849,15.585,0,13.311
CAF24.8.14.2021,8.14.2021,August,CAF,End,24,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",929.122,1.914,0.217,1.195,1.205,0.937,-0.217,1.195,1147.76,401.211,199.815,0.174,-947.945,0.455,-338.419,1.483,-0.568,Slightly Gravelly Sand,0,2.542,96.858,0.601,0,0,0,0,0.138,2.404,9.309,22.487,49.319,14.085,1.657,0,0.601
CAF17.8.14.2021,8.14.2021,August,CAF,Mid,17,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",997.006,1.666,0.171,1.18,1.23,0.736,-0.171,1.18,866.563,411.949,255.682,0.295,-610.882,0.524,-277.915,1.382,-0.466,Slightly Gravelly Sand,0,1.33,98.362,0.309,0,0,0,0,0.002,1.327,5.857,26.568,58.13,7.151,0.656,0,0.309
