Bottle,Sample,Date,Water_trt,Water_rep,Tank,TA,TA_SD,Sal,pCO2,pH_meas,temp,pH_calc,CO2,HCO3,CO3,Calcite,Arag
16,8.22.2020 Con 1 Coro U-2,8.22.2019,Control,1,Animal,2174.77,1.6,33,1726.77,7.95,15,7.566,65.41,2072.12,41.23,1,0.64
13,8.22.2020 Con 1 Header,8.22.2019,Control,1,Header,2164.5,0.21,33,1546.64,7.95,15,7.61,58.59,2052,45.14,1.09,0.7
35,8.22.2020 Con 2 Coro L-3,8.22.2019,Control,2,Animal,2156.69,2.13,33,1685.2,7.95,15,7.573,63.84,2053.25,41.48,1,0.64
25,8.22.2020 Con 2 Header,8.22.2019,Control,2,Header,2158.24,0.14,33,1428.86,7.95,15,7.641,54.13,2038.05,48.2,1.16,0.74
31,8.22.2020 Con 3 Clam 3-3,8.22.2019,Control,3,Animal,2155.22,4.23,33,2433.43,7.93,15,7.419,92.18,2081.59,29.53,0.71,0.46
33,8.22.2020 Con 3 Header,8.22.2019,Control,3,Header,2157.36,4.62,33,1740.62,7.94,15,7.56,65.94,2056.87,40.3,0.97,0.62
22,8.22.2020 Vari 1 Coro U-1,8.22.2019,Variable,1,Animal,2163.2,1.95,33,2655.13,7.82,15,7.384,100.58,2094.91,27.41,0.66,0.42
17,8.22.2020 Vari 1 Header,8.22.2019,Variable,1,Header,2159.73,0.32,33,2035.07,7.82,15,7.495,77.09,2072.48,35,0.85,0.54
26,8.22.2020 Vari 2 Clam 2-1,8.22.2019,Variable,2,Animal,2151.42,0.86,33,2641.27,7.63,15,7.384,100.05,2083.45,27.25,0.66,0.42
36,8.22.2020 Vari 2 Header,8.22.2019,Variable,2,Header,2148.44,0.45,33,2336.44,7.62,15,7.435,88.51,2072.38,30.48,0.74,0.47
32,8.22.2020 Vari 3 Coro L-2,8.22.2019,Variable,3,Animal,2157.23,6.8,33,2745.19,7.69,15,7.369,103.99,2091.37,26.42,0.64,0.41
34,8.22.2020 Vari 3 Header,8.22.2019,Variable,3,Header,2147.59,2.49,33,2305.26,7.69,15,7.441,87.32,2070.63,30.84,0.74,0.48
